foodword,rating
salmon,4
salmon,3
salmon,4
salmon,5
salmon,1
salmon,4
salmon,4
salmon,4
salmon,4
salmon,5
salmon,4
salmon,1
salmon,5
salmon,1
salmon,3
salmon,5
salmon,3
salmon,5
salmon,5
salmon,4
salmon,5
salmon,4
salmon,4
salmon,4
salmon,3
salmon,4
salmon,5
salmon,3
salmon,4
salmon,4
salmon,5
salmon,4
salmon,5
salmon,5
salmon,5
salmon,4
salmon,4
salmon,5
salmon,4
salmon,5
salmon,4
salmon,4
salmon,4
salmon,5
salmon,5
salmon,5
salmon,4
salmon,5
salmon,4
salmon,3
salmon,3
salmon,5
salmon,5
salmon,4
salmon,5
salmon,3
salmon,3
salmon,1
salmon,5
salmon,1
beef,5
beef,1
beef,1
beef,2
beef,4
beef,1
beef,5
beef,4
beef,4
beef,4
beef,3
beef,4
beef,5
beef,4
beef,3
beef,4
beef,4
beef,4
beef,4
beef,5
beef,3
beef,5
beef,3
beef,4
beef,3
beef,1
beef,4
beef,4
beef,5
beef,5
beef,3
beef,4
beef,4
beef,4
beef,2
beef,4
beef,3
beef,3
beef,4
beef,2
beef,4
beef,4
beef,5
beef,3
beef,4
beef,3
beef,5
beef,4
beef,2
beef,4
beef,5
don,1
don,3
don,5
don,2
don,2
don,1
don,2
don,5
don,5
don,2
don,1
don,4
don,2
don,1
don,2
don,5
don,3
don,1
don,4
don,3
don,2
don,5
don,3
don,3
don,4
don,5
don,4
don,5
don,4
don,4
don,4
don,4
don,1
don,4
don,2
don,5
don,1
don,4
don,3
soba,4
soba,2
soba,4
soba,2
soba,3
soba,3
soba,3
soba,4
soba,5
soba,1
soba,4
soba,4
soba,4
soba,5
soba,5
soba,5
soba,4
soba,5
soba,2
soba,5
soba,3
soba,4
soba,4
soba,4
soba,4
soba,5
soba,4
soba,5
katsu,2
katsu,4
katsu,5
katsu,2
katsu,1
katsu,5
katsu,1
katsu,3
katsu,1
katsu,1
katsu,5
katsu,4
katsu,4
katsu,5
katsu,3
katsu,4
katsu,2
katsu,4
katsu,4
katsu,2
katsu,4
katsu,5
katsu,5
katsu,4
katsu,3
katsu,1
katsu,4
katsu,3
katsu,1
katsu,4
katsu,5
katsu,3
katsu,1
udon,5
udon,2
udon,5
udon,5
udon,3
udon,2
udon,4
udon,1
udon,1
udon,4
udon,4
udon,1
udon,5
udon,5
udon,3
udon,3
udon,1
udon,4
udon,4
udon,3
udon,4
udon,4
udon,2
udon,3
udon,4
udon,4
udon,1
udon,4
udon,3
udon,4
udon,5
udon,4
curry,1
curry,1
curry,1
curry,5
curry,2
curry,4
curry,1
curry,4
curry,5
curry,4
curry,4
curry,5
curry,1
curry,1
curry,1
curry,3
curry,4
curry,5
curry,3
curry,1
curry,4
tempura,2
tempura,3
tempura,4
tempura,4
tempura,2
tempura,4
tempura,1
tempura,4
tempura,4
tempura,4
tempura,3
tempura,3
tempura,4
tempura,4
tempura,4
tempura,4
tempura,4
tempura,4
tempura,5
tempura,2
tempura,4
tempura,5
tempura,4
tempura,3
tempura,4
tempura,3
tempura,3
tempura,4
cheese,4
cheese,5
cheese,2
cheese,3
cheese,4
cheese,5
cheese,1
cheese,1
cheese,4
cheese,5
cheese,4
cheese,4
unagi,1
unagi,3
unagi,5
unagi,3
unagi,5
unagi,4
unagi,4
unagi,2
unagi,4
unagi,4
unagi,2
unagi,5
unagi,3
unagi,4
salad,4
salad,5
salad,4
salad,5
salad,5
salad,3
salad,1
salad,4
salad,1
salad,4
salad,4
salad,5
salad,5
roll,4
roll,4
roll,4
roll,5
roll,1
roll,3
roll,3
roll,5
roll,1
teriyaki,4
teriyaki,2
teriyaki,2
teriyaki,4
teriyaki,1
teriyaki,4
teriyaki,1
teriyaki,4
teriyaki,5
teriyaki,5
teriyaki,4
teriyaki,1
teriyaki,4
egg,2
egg,1
egg,4
egg,4
egg,5
egg,4
egg,1
egg,1
egg,5
chawanmushi,3
chawanmushi,5
chawanmushi,4
chawanmushi,4
chawanmushi,3
chawanmushi,4
chawanmushi,5
chawanmushi,5
chawanmushi,4
chawanmushi,5
chawanmushi,1
saba,3
saba,1
saba,2
saba,3
saba,3
saba,4
saba,4
saba,5
saba,4
saba,1
steak,4
steak,5
steak,4
steak,4
steak,5
steak,4
steak,5
steak,5
steak,5
tuna,1
tuna,4
tuna,5
tuna,4
tuna,4
tuna,4
tuna,5
tuna,5
belly,4
belly,5
belly,4
belly,4
belly,5
belly,2
belly,3
belly,1
mentai,5
mentai,4
mentai,4
mentai,3
mentai,5
